"Date","Price","Volume","Market_cap"
"2023-12-27 00:00:00 UTC+0","0.00091329","190609.326836","7352119.85726501"
"2023-12-26 00:00:00 UTC+0","0.00057194","80654.517019","4604149.41000007"
"2023-12-25 00:00:00 UTC+0","0.00064622","149980.224601","5202167.27735122"
"2023-12-24 00:00:00 UTC+0","0.00061958","124965.308372","4987724.06637879"
"2023-12-23 00:00:00 UTC+0","0.00042298","27624.806509","3405033.92277655"
"2023-12-22 00:00:00 UTC+0","0.00040417","20575.878682","3253638.02267671"
"2023-12-21 00:00:00 UTC+0","0.00038462","12189.208995","3096239.28053644"
"2023-12-20 00:00:00 UTC+0","0.00037691","51757.180387","3034204.33301990"
"2023-12-19 00:00:00 UTC+0","0.00034144","8087.555105","2748626.74490691"
"2023-12-18 00:00:00 UTC+0","0.00035079","47593.738372","2823920.68799917"
"2023-12-17 00:00:00 UTC+0","0.00035660","39561.007670","2870656.17951740"
"2023-12-16 00:00:00 UTC+0","0.00039208","45623.894527","3156282.78248487"
"2023-12-15 00:00:00 UTC+0","0.00043401","100712.707982","3493835.45278461"
"2023-12-14 00:00:00 UTC+0","0.00052290","137807.759405","4209399.23243821"
"2023-12-13 00:00:00 UTC+0","0.00061075","14477.848382","4916630.75770008"
"2023-12-12 00:00:00 UTC+0","0.00058057","28826.697536","4673698.97496850"
"2023-12-11 00:00:00 UTC+0","0.00063113","23657.347713","5080705.97301367"
"2023-12-10 00:00:00 UTC+0","0.00067611","84411.954924","5442782.19658944"
"2023-12-09 00:00:00 UTC+0","0.00090782","207904.487306","7308087.31395030"
"2023-12-08 00:00:00 UTC+0","0.00066108","67729.333624","5321742.49072870"
"2023-12-07 00:00:00 UTC+0","0.00057972","49331.947627","4666787.55652205"
"2023-12-06 00:00:00 UTC+0","0.00053230","69404.104430","4285061.02834533"
"2023-12-05 00:00:00 UTC+0","0.00060369","39001.687694","4859785.35937913"
"2023-12-04 00:00:00 UTC+0","0.00069230","56162.757417","5573113.73085203"
"2023-12-03 00:00:00 UTC+0","0.00065321","49321.861426","5258437.84403894"
"2023-12-02 00:00:00 UTC+0","0.00071975","106297.682253","5794105.23652388"
"2023-12-01 00:00:00 UTC+0","0.00064286","139578.026560","5175116.47081717"
"2023-11-30 00:00:00 UTC+0","0.00044734","12906.285500","3601121.25247734"
"2023-11-29 00:00:00 UTC+0","0.00045613","23589.211716","3671873.34954355"
"2023-11-28 00:00:00 UTC+0","0.00041031","22519.936897","3303026.01449262"
"2023-11-27 00:00:00 UTC+0","0.00042681","27113.191721","3435881.29444616"
"2023-11-26 00:00:00 UTC+0","0.00048964","55065.818195","3941695.49464300"
"2023-11-25 00:00:00 UTC+0","0.00037470","11747.250737","3016400.12082929"
"2023-11-24 00:00:00 UTC+0","0.00037742","34237.997599","3038243.96577669"
"2023-11-23 00:00:00 UTC+0","0.00037724","12272.796712","3036819.78649855"
"2023-11-22 00:00:00 UTC+0","0.00040986","42862.941530","3299415.54672635"
"2023-11-21 00:00:00 UTC+0","0.00042742","21306.807838","3440774.53194722"
"2023-11-20 00:00:00 UTC+0","0.00048042","107818.319876","3867428.76123940"
"2023-11-19 00:00:00 UTC+0","0.00044587","65404.015045","3589344.55068025"
"2023-11-18 00:00:00 UTC+0","0.00031637","19033.933521","2546808.59678517"
"2023-11-17 00:00:00 UTC+0","0.00029835","34798.040690","2401786.96505644"
"2023-11-16 00:00:00 UTC+0","0.00032285","160556.840091","2599021.25403574"
"2023-11-15 00:00:00 UTC+0","0.00045036","32257.387168","3625442.43604838"
"2023-11-14 00:00:00 UTC+0","0.00040538","16556.045033","3263357.75369276"
"2023-11-13 00:00:00 UTC+0","0.00040538","38181.395441","3263357.75369276"
"2023-11-12 00:00:00 UTC+0","0.00046175","36369.344286","3717127.12767119"
"2023-11-11 00:00:00 UTC+0","0.00053464","343800.351947","4303938.91800268"
"2023-11-10 00:00:00 UTC+0","0.00038405","69158.501338","3091684.29256154"
"2023-11-09 00:00:00 UTC+0","0.00038637","103522.501133","3110318.94567487"
"2023-11-08 00:00:00 UTC+0","0.00030808","58042.984660","2480059.70430759"
"2023-11-07 00:00:00 UTC+0","0.00031720","107706.912635","2553500.52770112"
