"Date","Price","Volume","Market_cap"
"2024-02-01 00:00:00 UTC+0","0.00000092","36387429.165807","385974470.93621650"
"2024-01-31 00:00:00 UTC+0","0.00000092","79389157.453974","386007283.27538764"
"2024-01-30 00:00:00 UTC+0","0.00000101","50161700.282007","426279460.25663140"
"2024-01-29 00:00:00 UTC+0","0.00000107","34970384.858498","448728231.10865504"
"2024-01-28 00:00:00 UTC+0","0.00000106","31668268.515170","447860355.63176507"
"2024-01-27 00:00:00 UTC+0","0.00000109","25811416.275166","460292403.34628385"
"2024-01-26 00:00:00 UTC+0","0.00000109","30539482.106530","457471369.42321810"
"2024-01-25 00:00:00 UTC+0","0.00000103","23423548.385781","432833132.97577260"
"2024-01-24 00:00:00 UTC+0","0.00000104","34170105.506277","437964506.21992320"
"2024-01-23 00:00:00 UTC+0","0.00000104","49183526.694622","437554865.30327636"
"2024-01-22 00:00:00 UTC+0","0.00000105","39842237.629557","441846081.88744340"
"2024-01-21 00:00:00 UTC+0","0.00000112","23891355.455593","471234574.59960730"
"2024-01-20 00:00:00 UTC+0","0.00000116","36669910.039565","489613019.86152880"
"2024-01-19 00:00:00 UTC+0","0.00000114","38224727.560660","478701826.29851420"
"2024-01-18 00:00:00 UTC+0","0.00000114","49422319.657884","481459181.50246716"
"2024-01-17 00:00:00 UTC+0","0.00000121","47021902.726461","507765919.72628754"
"2024-01-16 00:00:00 UTC+0","0.00000124","50906620.265351","522752041.77616340"
"2024-01-15 00:00:00 UTC+0","0.00000120","32354850.780788","505698169.61178420"
"2024-01-14 00:00:00 UTC+0","0.00000120","44545942.401905","505702041.11247486"
"2024-01-13 00:00:00 UTC+0","0.00000124","52719390.555189","523378439.36010706"
"2024-01-12 00:00:00 UTC+0","0.00000124","117945207.394377","521175011.95082050"
"2024-01-11 00:00:00 UTC+0","0.00000136","187452660.861373","572520935.99414700"
"2024-01-10 00:00:00 UTC+0","0.00000133","190205891.713861","558908596.39467310"
"2024-01-09 00:00:00 UTC+0","0.00000119","73618642.155015","500269504.14326900"
"2024-01-08 00:00:00 UTC+0","0.00000119","74526307.545329","501988610.41390234"
"2024-01-07 00:00:00 UTC+0","0.00000111","52727618.478585","465275227.83538360"
"2024-01-06 00:00:00 UTC+0","0.00000116","47312214.797168","486056390.03968847"
"2024-01-05 00:00:00 UTC+0","0.00000120","57987000.783428","504583679.45676500"
"2024-01-04 00:00:00 UTC+0","0.00000126","71297088.940122","528413907.26003987"
"2024-01-03 00:00:00 UTC+0","0.00000119","141737691.178967","499375929.30913466"
"2024-01-02 00:00:00 UTC+0","0.00000134","51837442.681091","563190681.15440330"
"2024-01-01 00:00:00 UTC+0","0.00000141","34187985.610753","592755172.12035900"
"2023-12-31 00:00:00 UTC+0","0.00000129","30444350.417418","542874307.04818930"
"2023-12-30 00:00:00 UTC+0","0.00000131","31175573.437035","551767432.51118210"
"2023-12-29 00:00:00 UTC+0","0.00000135","55239878.641951","567333826.89535270"
"2023-12-28 00:00:00 UTC+0","0.00000135","74779496.384684","569972888.03630890"
"2023-12-27 00:00:00 UTC+0","0.00000144","92097973.832842","607503970.54728670"
"2023-12-26 00:00:00 UTC+0","0.00000134","70826206.682779","563230844.18175830"
"2023-12-25 00:00:00 UTC+0","0.00000141","56021974.310179","593063618.42977680"
"2023-12-24 00:00:00 UTC+0","0.00000137","73393512.899953","578339197.00647840"
"2023-12-23 00:00:00 UTC+0","0.00000148","83980040.401559","622145283.04647680"
"2023-12-22 00:00:00 UTC+0","0.00000158","256137764.529743","666478529.75125670"
"2023-12-21 00:00:00 UTC+0","0.00000130","62222207.545168","545462823.27889450"
"2023-12-20 00:00:00 UTC+0","0.00000127","47402745.687136","533962457.92947674"
"2023-12-19 00:00:00 UTC+0","0.00000125","44864750.996330","525329720.83179957"
"2023-12-18 00:00:00 UTC+0","0.00000130","63098985.265778","547822824.76041700"
"2023-12-17 00:00:00 UTC+0","0.00000134","52968095.307534","562742221.06716510"
"2023-12-16 00:00:00 UTC+0","0.00000142","75594835.228307","597107391.67705950"
"2023-12-15 00:00:00 UTC+0","0.00000134","71503486.181141","562121470.21956720"
"2023-12-14 00:00:00 UTC+0","0.00000145","105689974.539735","609615848.94649180"
"2023-12-13 00:00:00 UTC+0","0.00000141","72996748.611606","593581198.43427740"
"2023-12-12 00:00:00 UTC+0","0.00000139","84061083.941848","585835895.18001140"
"2023-12-11 00:00:00 UTC+0","0.00000141","139066904.363640","593076826.90858960"
"2023-12-10 00:00:00 UTC+0","0.00000160","107426504.105181","674198907.28078150"
"2023-12-09 00:00:00 UTC+0","0.00000153","189585912.274897","644404956.02995070"
"2023-12-08 00:00:00 UTC+0","0.00000158","113629443.555396","663751564.95942080"
"2023-12-07 00:00:00 UTC+0","0.00000153","161848083.757242","642845251.19733270"
"2023-12-06 00:00:00 UTC+0","0.00000148","265801288.617065","623220887.90390560"
"2023-12-05 00:00:00 UTC+0","0.00000160","425044249.504044","673538402.68082610"
"2023-12-04 00:00:00 UTC+0","0.00000139","367050008.840717","585597881.32424930"
"2023-12-03 00:00:00 UTC+0","0.00000120","79748738.279445","505270601.02822880"
"2023-12-02 00:00:00 UTC+0","0.00000116","58247078.606940","489906993.37396640"
"2023-12-01 00:00:00 UTC+0","0.00000110","31910758.028306","464443053.25743246"
"2023-11-30 00:00:00 UTC+0","0.00000108","25311783.846004","455880645.44045050"
"2023-11-29 00:00:00 UTC+0","0.00000106","31827497.338939","444947164.42841570"
"2023-11-28 00:00:00 UTC+0","0.00000110","38625199.220597","461405125.87214386"
"2023-11-27 00:00:00 UTC+0","0.00000108","54587574.832399","454779531.65320927"
"2023-11-26 00:00:00 UTC+0","0.00000111","49839135.187116","468738747.61968360"
"2023-11-25 00:00:00 UTC+0","0.00000118","56007628.708262","494747577.85055876"
"2023-11-24 00:00:00 UTC+0","0.00000110","38952334.598917","464780009.28348090"
"2023-11-23 00:00:00 UTC+0","0.00000107","36049766.460733","452086535.15317480"
"2023-11-22 00:00:00 UTC+0","0.00000111","51753852.125629","465002771.06157580"
"2023-11-21 00:00:00 UTC+0","0.00000105","78097311.232314","441638532.76247305"
"2023-11-20 00:00:00 UTC+0","0.00000114","89570942.658080","478391597.04640055"
"2023-11-19 00:00:00 UTC+0","0.00000119","40409189.005509","500737900.67155194"
"2023-11-18 00:00:00 UTC+0","0.00000115","32397577.776748","482909095.14688545"
"2023-11-17 00:00:00 UTC+0","0.00000114","57617257.923199","481277334.76076424"
"2023-11-16 00:00:00 UTC+0","0.00000114","112976758.344877","480515350.95132583"
"2023-11-15 00:00:00 UTC+0","0.00000126","99877300.757660","529071785.20246980"
"2023-11-14 00:00:00 UTC+0","0.00000115","95046376.414252","485326537.81433220"
"2023-11-13 00:00:00 UTC+0","0.00000118","142351792.653032","494991677.23369527"
"2023-11-12 00:00:00 UTC+0","0.00000122","98738696.461954","514105486.56853920"
"2023-11-11 00:00:00 UTC+0","0.00000128","112050246.566021","538477916.74486260"
